player_id,player_display_name,position,team,week,attempts,passing_yards,carries,rushing_yards,targets,receptions,receiving_yards
00-0035647,Montez Sweat,DE,CHI,1,0,0,0,0,0,0,0
00-0035655,Will Harris,SAF,WAS,1,0,0,0,0,0,0,0
00-0035656,Khalen Saunders,DT,JAX,1,0,0,0,0,0,0,0
00-0035659,Terry McLaurin,WR,WAS,1,0,0,0,0,4,2,27
00-0035662,Marquise Brown,WR,KC,1,0,0,0,0,16,10,99
00-0035663,Taylor Rapp,SAF,BUF,1,0,0,0,0,0,0,0
00-0035667,Greg Gaines,DT,TB,1,0,0,0,0,0,0,0
00-0035669,Nick Scott,SAF,CAR,1,0,0,0,0,0,0,0
00-0035672,Cody Barton,LB,TEN,1,0,0,0,0,0,0,0
00-0035674,Jerry Tillery,DT,KC,1,0,0,0,0,0,0,0
00-0035676,A.J. Brown,WR,PHI,1,0,0,0,0,1,1,8
00-0035678,Dre'Mont Jones,LB,TEN,1,0,0,0,0,0,0,0
00-0035680,Quincy Williams,LB,NYJ,1,0,0,0,0,0,0,0
00-0035683,Dexter Lawrence,DT,NYG,1,0,0,0,0,0,0,0
00-0035685,David Montgomery,RB,DET,1,0,0,11,25,4,4,18
00-0035687,Bobby Okereke,ILB,NYG,1,0,0,0,0,0,0,0
00-0035689,Dawson Knox,TE,BUF,1,0,0,0,0,2,2,20
00-0035697,Germaine Pratt,LB,LV,1,0,0,0,0,0,0,0
00-0035699,Jamel Dean,CB,TB,1,0,0,0,0,0,0,0
00-0035700,Josh Jacobs,RB,GB,1,0,0,19,66,1,1,4
00-0035705,Jalen Thompson,DB,ARI,1,0,0,0,0,0,0,0
00-0035707,Devin White,LB,LV,1,0,0,0,0,0,0,0
00-0035710,Daniel Jones,QB,IND,1,29,272,7,26,0,0,0
00-0035713,Brian Burns,LB,NYG,1,0,0,0,0,0,0,0
00-0035717,Nick Bosa,DE,SF,1,0,0,0,0,0,0,0
00-0035718,Quinnen Williams,DT,NYJ,1,0,0,0,0,0,0,0
00-0035719,Deebo Samuel Sr.,WR,WAS,1,0,0,1,19,10,7,77
00-0035757,Jacob Bobenmoyer,LS,LV,1,0,0,0,0,0,0,0
00-0035821,Corliss Waitman,P,PIT,1,0,0,0,0,0,0,0
00-0035857,Chris Williams,DT,CHI,1,0,0,0,0,0,0,0
00-0035859,Blake Gillikin,P,ARI,1,0,0,0,0,0,0,0
00-0035889,Tommy Townsend,P,HOU,1,0,0,0,0,0,0,0
00-0035890,Tershawn Wharton,DE,CAR,1,0,0,0,0,0,0,0
00-0035891,Cody White,WR,SEA,1,0,0,0,0,0,0,0
00-0035895,Joe Bachie,LB,IND,1,0,0,0,0,0,0,0
00-0035942,Christian Rozeboom,LB,CAR,1,0,0,0,0,0,0,0
00-0035944,Jonah Williams,DE,NO,1,0,0,0,0,0,0,0
00-0036037,Sam Franklin Jr.,SAF,BUF,1,0,0,0,0,0,0,0
00-0036040,Juwan Johnson,TE,NO,1,0,0,0,0,11,8,76
00-0036081,Broderick Washington,DT,BAL,1,0,0,0,0,0,0,0
00-0036124,Khalil Dorsey,CB,DET,1,0,0,0,0,0,0,0
00-0036130,Nnamdi Madubuike,DT,BAL,1,0,0,0,0,0,0,0
00-0036139,Rico Dowdle,RB,CAR,1,0,0,3,12,3,2,4
00-0036151,Bryce Huff,DE,SF,1,0,0,0,0,0,0,0
00-0036158,J.K. Dobbins,RB,DEN,1,0,0,16,63,2,2,5
00-0036159,Joshua Uche,LB,PHI,1,0,0,0,0,0,0,0
00-0036181,Teair Tart,DT,LAC,1,0,0,0,0,0,0,0
00-0036182,Nick Westbrook-Ikhine,WR,MIA,1,0,0,0,0,2,1,7
00-0036192,A.J. Epenesa,LB,BUF,1,0,0,0,0,0,0,0
00-0036199,Geno Stone,SAF,CIN,1,0,0,0,0,0,0,0
00-0036212,Tua Tagovailoa,QB,MIA,1,23,114,1,7,0,0,0
00-0036220,Derrick Brown,DT,CAR,1,0,0,0,0,0,0,0
00-0036221,Brandon Jones,SAF,DEN,1,0,0,0,0,0,0,0
00-0036222,Isaiah Rodgers,CB,MIN,1,0,0,0,0,0,0,0
00-0036223,Jonathan Taylor,RB,IND,1,0,0,18,71,3,3,27
00-0036224,Jonathan Greenard,LB,MIN,1,0,0,0,0,0,0,0
